snapshot_date,record_type,atc_code,atc_name,ddd,uom,adm_r,note,brand_name,dosage_form,ingredients,ddd_comb
2021-12-03,main,A06AB52,"bisacodyl, combinations",,,,,,,,
2021-12-03,main,A06AB53,"dantron, combinations",,,,,,,,
2021-12-03,main,A06AB56,"senna glycosides, combinations",,,,,,,,
2021-12-03,main,A06AB57,"cascara, combinations",,,,,,,,
2021-12-03,main,A06AB58,"sodium picosulfate, combinations",,,,,,,,
2021-12-03,main,A06AC,Bulk-forming laxatives,,,,,,,,
2021-12-03,main,A06AC01,ispaghula (psylla seeds),7.0,g,O,,,,,
2021-12-03,main,A06AC02,ethulose,3.0,g,O,,,,,
2021-12-03,main,A06AC03,sterculia,8.0,g,O,,,,,
2021-12-03,main,A06AC05,linseed,,,,,,,,
2021-12-03,main,A06AC06,methylcellulose,2.0,g,O,,,,,
2021-12-03,main,A06AC07,triticum (wheat fibre),10.0,g,O,,,,,
2021-12-03,main,A06AC08,polycarbophil calcium,2.5,g,O,,,,,
2021-12-03,main,A06AC51,"ispaghula, combinations",,,,,,,,
2021-12-03,main,A06AC53,"sterculia, combinations",,,,,,,,
2021-12-03,main,A06AC55,"linseed, combinations",,,,,,,,
2021-12-03,main,A06AD,Osmotically acting laxatives,,,,,,,,
2021-12-03,main,A06AD01,magnesium carbonate,7.0,g,O,,,,,
2021-12-03,main,A06AD02,magnesium oxide,7.0,g,O,,,,,
2021-12-03,main,A06AD03,magnesium peroxide,,,,,,,,
2021-12-03,main,A06AD04,magnesium sulfate,7.0,g,O,,,,,
2021-12-03,main,A06AD10,mineral salts in combination,,,,,,,,
2021-12-03,main,A06AD11,lactulose,6.7,g,O,,,,,
